SapaLogicColor,TechDesignColor,SurfaceTreatmentGroup,OutputText,RGB,DescriptionSE,DescriptionNO,DescriptionDK,DescriptionFI,DescriptionEN,DescriptionPL
Doesn't exist,AC0.108,AN10,CLEAR10,N|192|192|192,Naturanodiserad 10 µm,Naturanodisert 10 µm,Naturanodiseret 10 µm,Luonnonanodisoitu 10 µm,Clear anodized 10 µm,Anoda naturalna 10 µm
Doesn't exist,AC0.158,AN15,CLEAR15,N|192|192|192,Naturanodiserad 15 µm,Naturanodisert 15 µm,Naturanodiseret 15 µm,Luonnonanodisoitu 15 µm,Clear anodized 15 µm,Anoda naturalna 15 µm
CLEAR,AC0.208,AN20,CLEAR,N|192|192|192,Naturanodiserad 20 µm,Naturanodisert 20 µm,Naturanodiseret 20 µm,Luonnonanodisoitu 20 µm,Clear anodized 20 µm,Anoda naturalna 20 µm
Doesn't exist,AC34.208,ADUM,BROWN,N|64|0|0,E6 C34 Mörk brons 20 µm,E6 C34 Dark bronze 20 µm,E6 C34 Dark bronze 20 µm,E6 C34 Dark bronze 20 µm,E6 C34 Dark bronze 20 µm,E6 C34 Dark bronze 20 µm
BLACK,AC35.208,ADUM,BLACK,N|0|0|0,E6 C35 Svart 20 µm,E6 C35 Svart 20 µm,E6 C35 Sort 20 µm,E6 C35 Musta 20 µm,E6 C35 Black 20 µm,Czarna anoda
HX05,AC36.058,AB01,HX05,N|187|182|173,HX 05 Sepia,HX 05 Sepia,HX 05 Sepia,HX 05 Sepia,HX 05 Sepia,HX 05 Sepia
HX10,AC36.108,AB01,HX10,N|146|136|115,HX 10 Champagne,HX 10 Champagne,HX 10 Champagne,HX 10 Shampanja,HX 10 Champagne,HX 10 Szampanska
HX20,AC36.208,AB01,HX20,N|121|110|93,HX 20 Ljus amber,HX 20 Lys amber,HX 20 Lys amber,HX 20 Vaalea amber,HX 20 Light amber,HX 20 Jasny bursztyn
HX30,AC36.308,AB02,HX30,N|102|94|86,HX 30 Amber,HX 30 Amber,HX 30 Amber,HX 30 Amber,HX 30 Amber,HX 30 Bursztyn
HX40,AC36.408,AB01,HX40,N|93|92|89,HX 40 Mörk amber,HX 40 Mørk amber,HX 40 Mørk amber,HX 40 Tumma amber,HX 40 Dark amber,HX 40 Ciemny bursztyn
HX50,AC36.508,AB03,HX50,N|1|1|1,HX 50 Svart,HX 50 Svart,HX 50 Sort,HX 50 Musta,HX 50 Black,HX 50 Czarna
HMW,AC40.108,ADUM,WHITE,N|255|255|255,HM-Vit,HM White,HM White,HM Valkoinen,HM-White,HM-Biala
Doesn't exist,AC8.200,ADUM,BLACK,N|0|0|0,Svart anodiserad,Svart anodisert,Sort anodiseret,Mustaksi anodisoitu,Black anodized,Czarna anoda
BLACK,AC8.208,ADUM,BLACK,N|0|0|0,Svart anodiserad,Svart anodisert,Sort anodiseret,Mustaksi anodisoitu,Black anodized,Czarna anoda
Doesn't exist,H9006.340,ADUM,GREY,N|161|161|160,H9006,H9006,H9006,H9006,H9006,H9006
Doesn't exist,H9007.830,ADUM,GREY,N|134|133|129,H9007,H9007,H9007,H9007,H9007,H9007
MILL,MF,MF,MF,N|220|220|220,Obehandlad,Ubehandlet,Ubehandlet,Raaka,Mill finished,Surowa
0300N - GL30,N0300.340N,NC_1,0300N_GL30,N|247|247|247,NCS S 0300-N Glans 30,NCS S 0300-N Glans 30,NCS S 0300-N Glans 30,NCS S 0300-N Kiiltoaste 30,NCS S 0300-N Gloss 30,NCS S 0300-N Polysk 30
0300N - GL80,N0300.840N,NC_1,0300N_GL80,N|247|247|247,NCS S 0300-N Glans 80,NCS S 0300-N Glans 80,NCS S 0300-N Glans 80,NCS S 0300-N Kiiltoaste 80,NCS S 0300-N Gloss 80,NCS S 0300-N Polysk 80
0500N - GL30,N0500.340N,WH_1,0500N_GL30,N|242|242|242,NCS S 0500-N Glans 30,NCS S 0500-N Glans 30,NCS S 0500-N Glans 30,NCS S 0500-N Kiiltoaste 30,NCS S 0500-N Gloss 30,NCS S 0500-N Polysk 30
0500N - GL80,N0500.840N,WH_1,0500N_GL80,N|242|242|242,NCS S 0500-N Glans 80,NCS S 0500-N Glans 80,NCS S 0500-N Glans 80,NCS S 0500-N Kiiltoaste 80,NCS S 0500-N Gloss 80,NCS S 0500-N Polysk 80
0502B50G - GL30,N0502.3407,NC_1,0502B50G_GL30,N|247|255|255,NCS S 0502-B50G Glans 30,NCS S 0502-B50G Glans 30,NCS S 0502-B50G Glans 30,NCS S 0502-B50G Kiiltoaste 30,NCS S 0502-B50G Gloss 30,NCS S 0502-B50G Polysk 30
0502B - GL30,N0502.340B,NC_1,0502B_GL30,N|246|252|255,NCS S 0502-B Glans 30,NCS S 0502-B Glans 30,NCS S 0502-B Glans 30,NCS S 0502-B Kiiltoaste 30,NCS S 0502-B Gloss 30,NCS S 0502-B Polysk 30
0502Y50R - GL30,N0502.340D,NC_1,0502Y50R_GL30,N|255|249|244,NCS S 0502-Y50R Glans 30,NCS S 0502-Y50R Glans 30,NCS S 0502-Y50R Glans 30,NCS S 0502-Y50R Kiiltoaste 30,NCS S 0502-Y50R Gloss 30,NCS S 0502-Y50R Polysk 30
0502G - GL30,N0502.340G,NC_1,0502G_GL30,N|244|255|248,NCS S 0502-G Glans 30,NCS S 0502-G Glans 30,NCS S 0502-G Glans 30,NCS S 0502-G Kiiltoaste 30,NCS S 0502-G Gloss 30,NCS S 0502-G Polysk 30
0502G50Y - GL30,N0502.340U,NC_1,0502G50Y_GL30,N|253|255|246,NCS S 0502-G50Y Glans 30,NCS S 0502-G50Y Glans 30,NCS S 0502-G50Y Glans 30,NCS S 0502-G50Y Kiiltoaste 30,NCS S 0502-G50Y Gloss 30,NCS S 0502-G50Y Polysk 30
0502Y - GL30,N0502.340Y,WH_1,0502Y_GL30,N|255|254|247,NCS S 0502-Y Glans 30,NCS S 0502-Y Glans 30,NCS S 0502-Y Glans 30,NCS S 0502-Y Kiiltoaste 30,NCS S 0502-Y Gloss 30,NCS S 0502-Y Polysk 30
0502B - GL80,N0502.840B,NC_1,0502B_GL80,N|246|252|255,NCS S 0502-B Glans 80,NCS S 0502-B Glans 80,NCS S 0502-B Glans 80,NCS S 0502-B Kiiltoaste 80,NCS S 0502-B Gloss 80,NCS S 0502-B Polysk 80
0502Y50R - GL80,N0502.840D,NC_1,0502Y50R_GL80,N|255|249|244,NCS S 0502-Y50R Glans 80,NCS S 0502-Y50R Glans 80,NCS S 0502-Y50R Glans 80,NCS S 0502-Y50R Kiiltoaste 80,NCS S 0502-Y50R Gloss 80,NCS S 0502-Y50R Polysk 80
0502G - GL80,N0502.840G,NC_1,0502G_GL80,N|244|255|248,NCS S 0502-G Glans 80,NCS S 0502-G Glans 80,NCS S 0502-G Glans 80,NCS S 0502-G Kiiltoaste 80,NCS S 0502-G Gloss 80,NCS S 0502-G Polysk 80
0502G50Y - GL80,N0502.840U,NC_1,0502G50Y_GL80,N|253|255|246,NCS S 0502-G50Y Glans 80,NCS S 0502-G50Y Glans 80,NCS S 0502-G50Y Glans 80,NCS S 0502-G50Y Kiiltoaste 80,NCS S 0502-G50Y Gloss 80,NCS S 0502-G50Y Polysk 80
